sp	class	stage_ref	stage	hab	LT	Ctmin	z	r2	Ref
Tribolium_castaneum	Insecta	all	all	terrestrial	50	-85.17486	17.09041	0.916	Fields1992_Fig1
Cryptolestes_ferrugineus	Insecta	all	all	terrestrial	50	-100.9563	20.59611	0.992	Fields1992_Fig1
Sitophilus_granarius	Insecta	all	all	terrestrial	50	-35.26439	8.25381	0.988	Fields1992_Fig1
Alphitobius_diaperinus	Insecta	adult	adult	terrestrial	50	-33.04973	9.360126	0.934	RenaultEA2004_Fig2
Lasioderma_serricone	Insecta	egg	egg	terrestrial	50	-23.04755	7.068491	0.995	Imai&Harada_Table1
Lasioderma_serricone	Insecta	larvae	larvae	terrestrial	50	-33.02597	9.205004	0.921	Imai&Harada_Table1
Lasioderma_serricone	Insecta	pupae	pupae	terrestrial	50	-26.44083	7.358756	0.874	Imai&Harada_Table1
Lasioderma_serricone	Insecta	adult	adult	terrestrial	50	-24.35014	6.469187	0.966	Imai&Harada_Table1
Stegobium_paniceum	Insecta	adult	adult	terrestrial	50	-22.18881	6.020839	0.961	AbdelghanyEA2010_Table4
Callosobruchus_maculatus	Insecta	pupae	pupae	terrestrial	50	-27.94162	6.41956	0.958	LoganathanEA2011_Tables4_5
Callosobruchus_maculatus	Insecta	egg	egg	terrestrial	50	-32.58127	9.254235	0.966	LoganathanEA2011_Tables4_5
Oryzaephilus_surinamensis	Insecta	adult	adult	terrestrial	100	-107.1619	23.03238	0.965	Mathlein1961_in_Strang1992
Sitophilus_granarius	Insecta	adult	adult	terrestrial	100	-36.11791	7.110365	0.937	Back&Cotton1924_in_Strang1992
Sitophilus_granarius	Insecta	egg	egg	terrestrial	100	-59.23186	12.64557	0.915	Mathlein1961_in_Strang1992
Sitophilus_granarius	Insecta	larvae	larvae	terrestrial	100	-48.78398	9.788769	0.96	Mathlein1961_in_Strang1992
Sitophilus_oryzae	Insecta	adult	adult	terrestrial	100	-38.98212	8.977332	0.965	Back&Cotton1924_in_Strang1992
Tribolium_castaneum	Insecta	all	all	terrestrial	100	-35.27684	7.701259	0.934	Cotton1950_in_Strang1992
Tribolium_confusum	Insecta	all	all	terrestrial	100	-34.31339	7.368187	0.917	Cotton1950_in_Strang1992
Tineola_bisselliella	Insecta	egg	egg	terrestrial	100	-47.32099	9.726543	0.965	Back&Cotton1927_in_Strang1992
Tineola_bisselliella	Insecta	larvae	larvae	terrestrial	100	-49.17819	8.706654	0.878	Back&Cotton1927_in_Strang1992
Anagasta_kuhniella	Insecta	all	all	terrestrial	100	-40.22556	7.210513	0.952	Cotton1950_in_Strang1992
Plodia_interpunctuella	Insecta	all	all	terrestrial	100	-34.93791	6.10944	0.95	Cotton1950_in_Strang1992
